||||   THE GOD EXISTS   |||
|||| THE ISLAM IS RIGHT |||

2010-Jun-26 17:01:23  ::  errorHandler	[Type:(SPErrorHandler)] Reports : <Starting ErrorHandling ...>
2010-Jun-26 17:01:23.953125  ::  Soshiant33 Engine 0	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:01:24  ::  2.55071e+008	[Type:(S33Texture::Reload)] Reports : <Reload>
2010-Jun-26 17:01:24.343750  ::  Soshiant33 Engine 0	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:01:24.390625  ::  2.55071e+008	[Type:(S33Texture::Reload)] Reports : <Reload>
2010-Jun-26 17:01:24.515625  ::  Soshiant33 Engine 0	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:01:24.562500  ::  2.55071e+008	[Type:(S33Texture::Reload)] Reports : <Reload>
2010-Jun-26 17:01:24.703125  ::  Soshiant33 Engine 0	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:01:24.750000  ::  2.55071e+008	[Type:(S33Texture::Reload)] Reports : <Reload>
2010-Jun-26 17:01:24.875000  ::  Soshiant33 Engine 0	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:01:24.953125  ::  2.55071e+008	[Type:(S33Texture::Reload)] Reports : <Reload>
2010-Jun-26 17:01:25.125000  ::  Soshiant33 Engine 0	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:01:25.203125  ::  2.55071e+008	[Type:(S33Texture::Reload)] Reports : <Reload>
2010-Jun-26 17:01:25.328125  ::  Soshiant33 Engine 0	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:01:25.406250  ::  2.55071e+008	[Type:(S33Texture::Reload)] Reports : <Reload>
2010-Jun-26 17:06:25.734375  ::  Soshiant33 Engine 1	[Type:(S33Engine::Loose)] Reports : <loosed>
2010-Jun-26 17:06:25.734375  ::  GDevice	[Type:(SPD3D9GDevice::SetSize)] Reports : <Error: Reseting Device failed(maybe all reses not released)>


|||| RAHBAR FAGHAT SEYED ALI ... |||
